epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,463.681,1.10312,0.74632,1.027,0.89948,0.70237,0.71612,0.52591,1.21314,0.80364,1.0308,0.000990365,0.000990365,0.000990365
43,477.268,1.10674,0.74592,1.03033,0.89368,0.63885,0.66014,0.49624,1.21477,0.79133,1.03582,0.000973861,0.000973861,0.000973861
44,491.463,1.11937,0.72939,1.00559,0.91225,0.6888,0.72148,0.55951,1.21962,0.7865,1.03643,0.000957358,0.000957358,0.000957358
45,501.963,1.09446,0.74448,1.02372,0.88895,0.92289,0.94445,0.71405,1.21962,0.7865,1.03643,0.000940855,0.000940855,0.000940855
46,513.656,1.06654,0.75602,1.00601,0.90811,0.69255,0.71971,0.56339,1.20309,0.76794,1.02983,0.000924352,0.000924352,0.000924352
47,526.796,1.10763,0.77141,1.01714,0.91018,0.63019,0.65798,0.49912,1.20392,0.76286,1.03133,0.000907848,0.000907848,0.000907848
48,540.67,1.17179,0.74766,0.99966,0.91108,0.62784,0.65718,0.49739,1.19278,0.75795,1.02557,0.000891345,0.000891345,0.000891345
49,553.492,1.09172,0.73633,1.01997,0.8923,0.92,0.93644,0.70033,1.19278,0.75795,1.02557,0.000874842,0.000874842,0.000874842
50,564.652,1.06886,0.71569,1.01004,0.92604,0.68686,0.71994,0.5539,1.18919,0.74961,1.02318,0.000858338,0.000858338,0.000858338
51,579.235,1.12839,0.7145,0.98656,0.85526,0.63378,0.6551,0.50178,1.18584,0.75286,1.02347,0.000841835,0.000841835,0.000841835
52,594.141,1.09265,0.7087,0.99855,0.91575,0.69247,0.72185,0.54593,1.1886,0.75365,1.02449,0.000825332,0.000825332,0.000825332
53,603.561,1.07326,0.71776,1.01594,0.88926,0.92571,0.94012,0.69918,1.1886,0.75365,1.02449,0.000808828,0.000808828,0.000808828
54,616.737,1.04147,0.67436,1.00156,0.91824,0.62574,0.65886,0.49627,1.18037,0.75722,1.02102,0.000792325,0.000792325,0.000792325
55,630.987,1.10641,0.73276,1.00982,0.93097,0.67657,0.71612,0.55103,1.17311,0.76097,1.0141,0.000775822,0.000775822,0.000775822
56,641.611,1.05482,0.68362,0.9865,0.87778,0.62235,0.65364,0.49943,1.18111,0.75764,1.0133,0.000759318,0.000759318,0.000759318
57,653.123,1.06035,0.67192,0.98699,0.87653,0.90286,0.93433,0.70994,1.18111,0.75764,1.0133,0.000742815,0.000742815,0.000742815
58,666.366,1.03809,0.69389,1.00063,0.91679,0.89858,0.93823,0.70665,1.19329,0.75146,1.01499,0.000726312,0.000726312,0.000726312
59,679.111,1.05107,0.69671,0.99042,0.93003,0.62235,0.65765,0.49285,1.20568,0.74982,1.01769,0.000709809,0.000709809,0.000709809
60,692.296,1.04739,0.67254,0.98028,0.92953,0.69042,0.71935,0.55374,1.20816,0.74222,1.02095,0.000693305,0.000693305,0.000693305
61,703.533,1.02049,0.67184,0.98105,0.90274,0.90286,0.94199,0.70934,1.20816,0.74222,1.02095,0.000676802,0.000676802,0.000676802
62,718.333,1.03861,0.67409,0.98823,0.93762,0.6195,0.65777,0.51242,1.20469,0.73425,1.02158,0.000660299,0.000660299,0.000660299
63,731.88,1.00304,0.69588,0.9773,0.91907,0.60807,0.64553,0.49601,1.19904,0.72941,1.01945,0.000643795,0.000643795,0.000643795
64,750.622,1.03062,0.68665,0.99722,0.90856,0.61092,0.64532,0.4954,1.19163,0.72993,1.01529,0.000627292,0.000627292,0.000627292
65,764.612,1.00498,0.66265,0.97861,0.9013,0.91853,0.94411,0.71568,1.19163,0.72993,1.01529,0.000610789,0.000610789,0.000610789
66,785.216,1.10319,0.69851,1.0054,0.91996,0.62521,0.65611,0.50202,1.18118,0.72928,1.01092,0.000594286,0.000594286,0.000594286
